TipoLuminaria,ColorSuelo,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ReflectanciaSuelo,IluminanciaSuperior
Philips EW BLAST POWERCORE CK Intelligent series,negro,80.0,3500.0,2670.0,2673.0,607.0,4.0,19.65
Philips EW BLAST POWERCORE CK Intelligent series,gris oscuro,80.0,3500.0,2670.0,2673.0,607.0,20.0,66.35
Philips EW BLAST POWERCORE CK Intelligent series,gris claro,80.0,3500.0,2670.0,2673.0,607.0,42.0,154.2
Philips EW BLAST POWERCORE CK Intelligent series,blanco,80.0,3500.0,2670.0,2673.0,607.0,66.0,358.8
Philips EW BLAST POWERCORE CK Intelligent series,morado,80.0,3500.0,2670.0,2673.0,607.0,4.0,41.83
Philips EW BLAST POWERCORE CK Intelligent series,rojo,80.0,3500.0,2670.0,2673.0,607.0,12.0,80.67
Philips EW BLAST POWERCORE CK Intelligent series,verde ,80.0,3500.0,2670.0,2673.0,607.0,26.0,160.8
Philips EW BLAST POWERCORE CK Intelligent series,Verde oscuro,80.0,3500.0,2670.0,2673.0,607.0,10.0,81.95
Philips EW BLAST POWERCORE CK Intelligent series,marrón claro,80.0,3500.0,2670.0,2673.0,607.0,48.0,185.9
Philips EW BLAST POWERCORE CK Intelligent series,marrón oscuro,80.0,3500.0,2670.0,2673.0,607.0,12.0,46.66
Philips EW BLAST POWERCORE CK Intelligent series,negro,80.0,3500.0,2670.0,2673.0,607.0,4.0,18.15
Philips EW BLAST POWERCORE CK Intelligent series,gris oscuro,80.0,3500.0,2670.0,2673.0,607.0,20.0,63.34
Philips EW BLAST POWERCORE CK Intelligent series,gris claro,80.0,3500.0,2670.0,2673.0,607.0,42.0,146.1
Philips EW BLAST POWERCORE CK Intelligent series,blanco,80.0,3500.0,2670.0,2673.0,607.0,66.0,337.9
Philips EW BLAST POWERCORE CK Intelligent series,morado,80.0,3500.0,2670.0,2673.0,607.0,4.0,42.24
Philips EW BLAST POWERCORE CK Intelligent series,rojo,80.0,3500.0,2670.0,2673.0,607.0,12.0,84.1
Philips EW BLAST POWERCORE CK Intelligent series,verde claro,80.0,3500.0,2670.0,2673.0,607.0,54.0,213.2
Philips EW BLAST POWERCORE CK Intelligent series,verde ,80.0,3500.0,2670.0,2673.0,607.0,26.0,158.4
Philips EW BLAST POWERCORE CK Intelligent series,Verde oscuro,80.0,3500.0,2670.0,2673.0,607.0,10.0,81.76
Philips EW BLAST POWERCORE CK Intelligent series,marrón claro,80.0,3500.0,2670.0,2673.0,607.0,48.0,166.7
Philips EW BLAST POWERCORE CK Intelligent series,marrón oscuro,80.0,3500.0,2670.0,2673.0,607.0,12.0,45.87
Philips EW BLAST POWERCORE CK Intelligent series,negro,160.0,3500.0,2670.0,2096.0,607.0,4.0,9.27
Philips EW BLAST POWERCORE CK Intelligent series,gris oscuro,160.0,3500.0,2670.0,2096.0,607.0,20.0,27.57
Philips EW BLAST POWERCORE CK Intelligent series,gris claro,160.0,3500.0,2670.0,2096.0,607.0,42.0,50.18
Philips EW BLAST POWERCORE CK Intelligent series,blanco,160.0,3500.0,2670.0,2096.0,607.0,66.0,112.1
Philips EW BLAST POWERCORE CK Intelligent series,morado,160.0,3500.0,2670.0,2096.0,607.0,4.0,17.47
Philips EW BLAST POWERCORE CK Intelligent series,rojo,160.0,3500.0,2670.0,2096.0,607.0,12.0,27.06
Philips EW BLAST POWERCORE CK Intelligent series,verde claro,160.0,3500.0,2670.0,2096.0,607.0,54.0,71.46
Philips EW BLAST POWERCORE CK Intelligent series,verde ,160.0,3500.0,2670.0,2096.0,607.0,26.0,59.32
Philips EW BLAST POWERCORE CK Intelligent series,Verde oscuro,160.0,3500.0,2670.0,2096.0,607.0,10.0,30.1
Philips EW BLAST POWERCORE CK Intelligent series,marrón claro,160.0,3500.0,2670.0,2096.0,607.0,48.0,57.82
Philips EW BLAST POWERCORE CK Intelligent series,marrón oscuro,160.0,3500.0,2670.0,2096.0,607.0,12.0,19.64
Philips EW BLAST POWERCORE CK Intelligent series,negro,160.0,3500.0,2670.0,2096.0,607.0,4.0,9.09
Philips EW BLAST POWERCORE CK Intelligent series,gris claro,160.0,3500.0,2670.0,2096.0,607.0,42.0,50.91
Philips EW BLAST POWERCORE CK Intelligent series,blanco,160.0,3500.0,2670.0,2096.0,607.0,66.0,111.1
Philips EW BLAST POWERCORE CK Intelligent series,morado,160.0,3500.0,2670.0,2096.0,607.0,4.0,17.49
Philips EW BLAST POWERCORE CK Intelligent series,rojo,160.0,3500.0,2670.0,2096.0,607.0,12.0,27.19
Philips EW BLAST POWERCORE CK Intelligent series,verde claro,160.0,3500.0,2670.0,2096.0,607.0,54.0,71.37
Philips EW BLAST POWERCORE CK Intelligent series,verde ,160.0,3500.0,2670.0,2096.0,607.0,26.0,60.55
Philips EW BLAST POWERCORE CK Intelligent series,Verde oscuro,160.0,3500.0,2670.0,2096.0,607.0,10.0,31.87
Philips EW BLAST POWERCORE CK Intelligent series,marrón claro,160.0,3500.0,2670.0,2096.0,607.0,48.0,58.49
Philips EW BLAST POWERCORE CK Intelligent series,marrón oscuro,160.0,3500.0,2670.0,2096.0,607.0,12.0,19.98
Philips RetroFit BGS981(Experimental),negro,80.0,4000.0,3060.0,709.0,627.0,4.0,19.85
Philips RetroFit BGS981(Experimental),gris oscuro,80.0,4000.0,3060.0,709.0,627.0,20.0,36.83
Philips RetroFit BGS981(Experimental),gris claro,80.0,4000.0,3060.0,709.0,627.0,42.0,63.97
Philips RetroFit BGS981(Experimental),blanco,80.0,4000.0,3060.0,709.0,627.0,66.0,115.5
Philips RetroFit BGS981(Experimental),morado,80.0,4000.0,3060.0,709.0,627.0,4.0,28.59
Philips RetroFit BGS981(Experimental),rojo,80.0,4000.0,3060.0,709.0,627.0,12.0,33.47
Philips RetroFit BGS981(Experimental),verde claro,80.0,4000.0,3060.0,709.0,627.0,54.0,80.65
Philips RetroFit BGS981(Experimental),verde ,80.0,4000.0,3060.0,709.0,627.0,26.0,69.35
Philips RetroFit BGS981(Experimental),Verde oscuro,80.0,4000.0,3060.0,709.0,627.0,10.0,29.2
